measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Nigeria,Male,All ages,Neglected tropical diseases and malaria,Number,2003,124047.81677974865,186716.17580663884,76340.988802978
Deaths,Nigeria,Female,All ages,Neglected tropical diseases and malaria,Number,2003,114127.63474997094,175038.70941361587,64635.803989476124
Deaths,Nigeria,Male,All ages,Nutritional deficiencies,Number,2003,16755.794231854874,29529.957545626406,9418.823280513781
Deaths,Nigeria,Female,All ages,Nutritional deficiencies,Number,2003,32589.69855429724,44586.10652947002,23988.82505695309
Deaths,Nigeria,Male,All ages,Digestive diseases,Number,2003,27006.736655381967,40129.04514062049,18302.472958237977
Deaths,Nigeria,Female,All ages,Digestive diseases,Number,2003,12336.486223652544,19417.44821535348,7803.2800718808985
Deaths,Nigeria,Male,All ages,Neoplasms,Number,2003,33731.51701580897,43532.955231829146,25469.001141995774
Deaths,Nigeria,Female,All ages,Neoplasms,Number,2003,25434.489343665762,30930.450538849625,21281.734060821007
Deaths,Nigeria,Male,All ages,Mental disorders,Number,2003,0.01772016961607772,0.21210086478818554,0.0019967361956649745
Deaths,Nigeria,Female,All ages,Mental disorders,Number,2003,0.06478598603502586,0.16661783068007258,0.01827831161100854
Deaths,Nigeria,Male,All ages,Neurological disorders,Number,2003,7164.877293348736,11088.50677141396,4697.711467874827
Deaths,Nigeria,Female,All ages,Neurological disorders,Number,2003,6192.786140905241,12831.959861417748,3041.6028584457295
Deaths,Nigeria,Male,All ages,Self-harm and interpersonal violence,Number,2003,14847.359834989451,24386.627671796385,9606.937926880204
Deaths,Nigeria,Female,All ages,Self-harm and interpersonal violence,Number,2003,5685.48820904408,8968.944965698998,3409.066538154456
Deaths,South Africa,Male,All ages,Digestive diseases,Number,2003,6331.947495579215,7216.656066776341,5474.745354274086
Deaths,South Africa,Female,All ages,Digestive diseases,Number,2003,4438.289106005426,4989.403644936369,3773.697313624926
Deaths,Ethiopia,Male,All ages,Neoplasms,Number,2003,19655.255289251938,23940.328567218316,16319.942838314533
Deaths,Ethiopia,Female,All ages,Neoplasms,Number,2003,22599.922007295696,28103.330727430937,17665.172142284824
Deaths,Nigeria,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2003,53698.598543527885,62785.48367459122,45467.0048256639
Deaths,Nigeria,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2003,51555.82096198752,60403.734925100456,43797.20872021806
Deaths,Nigeria,Male,All ages,Respiratory infections and tuberculosis,Number,2003,153448.14047431058,201561.67972725222,111241.77603040462
Deaths,Nigeria,Female,All ages,Respiratory infections and tuberculosis,Number,2003,113816.59969619753,158056.6151420326,78887.95847779978
Deaths,Nigeria,Male,All ages,Enteric infections,Number,2003,139774.2932666932,201094.97824279199,87021.52847510653
Deaths,Nigeria,Female,All ages,Enteric infections,Number,2003,115102.89763269875,177009.18701748634,66128.67562301974
Deaths,Nigeria,Male,All ages,Other infectious diseases,Number,2003,99118.00370510342,140237.59171006223,68978.4129283741
Deaths,Nigeria,Female,All ages,Other infectious diseases,Number,2003,100063.96313071625,141039.86426590977,69120.36705865808
Deaths,Nigeria,Male,All ages,Maternal and neonatal disorders,Number,2003,112913.93497195363,128871.14259584164,96428.34130423046
Deaths,Nigeria,Female,All ages,Maternal and neonatal disorders,Number,2003,116576.90481355473,131979.00995112903,101785.91539251595
Deaths,South Africa,Male,All ages,Cardiovascular diseases,Number,2003,30757.029488296077,34160.04558514906,27449.97173942254
Deaths,South Africa,Female,All ages,Cardiovascular diseases,Number,2003,36010.9855017335,39652.56617460748,31601.932812350766
Deaths,South Africa,Male,All ages,Skin and subcutaneous diseases,Number,2003,336.5546831314627,428.50629454532424,260.0552927587331
Deaths,South Africa,Female,All ages,Skin and subcutaneous diseases,Number,2003,512.1783606622082,641.580598167307,412.3072694786772
Deaths,South Africa,Male,All ages,Self-harm and interpersonal violence,Number,2003,22630.937642295532,27390.300193658335,18665.36533614776
Deaths,South Africa,Female,All ages,Self-harm and interpersonal violence,Number,2003,4488.214881222334,5554.417594629871,3539.102728800755
Deaths,South Africa,Male,All ages,Musculoskeletal disorders,Number,2005,211.77963135693372,310.7600048262466,127.34432644119155
Deaths,South Africa,Female,All ages,Musculoskeletal disorders,Number,2005,402.0855494063359,558.9094805565875,263.3649906878665
Deaths,South Africa,Male,All ages,Other non-communicable diseases,Number,2005,3521.1026895674304,4074.131846395149,3053.6133505748494
Deaths,South Africa,Female,All ages,Other non-communicable diseases,Number,2005,3617.523724299483,4255.522878584005,3078.1055738338246
Deaths,South Africa,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2005,132182.53581180784,142988.68105300987,122670.22996868387
Deaths,South Africa,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2005,162412.9890423839,169267.97107723737,155534.13730451989
Deaths,South Africa,Male,All ages,Respiratory infections and tuberculosis,Number,2005,37707.11124619618,41862.47339828926,33236.8446106034
Deaths,South Africa,Female,All ages,Respiratory infections and tuberculosis,Number,2005,27061.431285878018,29968.395175505517,24211.55218809053
Deaths,South Africa,Male,All ages,Enteric infections,Number,2005,15620.053045612998,20727.863952031872,12080.022185549009
Deaths,South Africa,Female,All ages,Enteric infections,Number,2005,14972.330679728413,18333.495025130327,12171.00859461613
Deaths,Ethiopia,Male,All ages,Cardiovascular diseases,Number,2003,26027.00272318463,35206.58646415015,17504.543364969202
Deaths,Ethiopia,Female,All ages,Cardiovascular diseases,Number,2003,20168.938392282933,28390.2434551363,13104.695030477686
Deaths,Ethiopia,Male,All ages,Nutritional deficiencies,Number,2005,5582.778017446805,8491.199421538757,3437.9908221832175
Deaths,Ethiopia,Female,All ages,Nutritional deficiencies,Number,2005,7969.4846494054345,10758.821825805848,5890.212374412415
Deaths,Ethiopia,Male,All ages,Neurological disorders,Number,2005,5726.541569566711,9291.985797932186,3484.3063610257686
Deaths,Ethiopia,Female,All ages,Neurological disorders,Number,2005,4673.425137759512,9151.797032684346,2327.332626840752
Deaths,Ethiopia,Male,All ages,Mental disorders,Number,2005,0.004069534125298486,0.05303896451885494,0.00014128130061746727
Deaths,Ethiopia,Female,All ages,Mental disorders,Number,2005,0.009663394071034283,0.03524582072374906,0.0018094142684966124
Deaths,South Africa,Male,All ages,Neurological disorders,Number,2003,2394.5680024301837,4353.787210795487,1406.6343336377795
Deaths,South Africa,Female,All ages,Neurological disorders,Number,2003,4679.835258230569,10629.735952294242,1936.5391760735952
Deaths,South Africa,Male,All ages,Neglected tropical diseases and malaria,Number,2006,257.9707295700113,356.9293734263693,205.54258663025539
Deaths,South Africa,Female,All ages,Neglected tropical diseases and malaria,Number,2006,261.3492107158379,333.8870988655753,193.67618639940744
Deaths,South Africa,Male,All ages,Chronic respiratory diseases,Number,2006,9840.58525549361,11236.812106356132,8537.117619560335
Deaths,South Africa,Female,All ages,Chronic respiratory diseases,Number,2006,7013.193275679805,8988.555466158896,4639.94042083957
Deaths,Nigeria,Male,All ages,Cardiovascular diseases,Number,2003,69189.76849841131,90509.47475413291,51579.81688160613
Deaths,Nigeria,Female,All ages,Cardiovascular diseases,Number,2003,72613.42806117436,95235.76940117114,54353.80054134266
Deaths,South Africa,Male,All ages,Mental disorders,Number,2003,0.010642308926936675,0.0761431368175459,0.0018229578350092508
Deaths,South Africa,Female,All ages,Mental disorders,Number,2003,0.05798326849737057,0.152849844632953,0.015566219087353759
Deaths,South Africa,Male,All ages,Digestive diseases,Number,2006,6576.35673312088,7393.74551540803,5539.983153999276
Deaths,South Africa,Female,All ages,Digestive diseases,Number,2006,4987.788548680309,5733.483490791473,4262.211379441267
Deaths,Ethiopia,Male,All ages,Neglected tropical diseases and malaria,Number,2003,24118.029779364544,38056.595834249994,13378.84312984738
Deaths,Ethiopia,Female,All ages,Neglected tropical diseases and malaria,Number,2003,24203.82191152575,39386.56285656584,12303.389639869933
Deaths,Ethiopia,Male,All ages,Chronic respiratory diseases,Number,2003,6385.560659101331,10057.46273791123,3760.9974906726193
Deaths,Ethiopia,Female,All ages,Chronic respiratory diseases,Number,2003,3175.7531652687094,4722.060217492439,1952.0744388416401
Deaths,Ethiopia,Male,All ages,Digestive diseases,Number,2003,20407.135831969437,30577.095231832875,14146.414827914228
Deaths,Ethiopia,Female,All ages,Digestive diseases,Number,2003,9954.579067035776,15422.043124855707,6537.194559544283
Deaths,Ethiopia,Male,All ages,Self-harm and interpersonal violence,Number,2003,16019.309317277442,24115.91724780737,11243.95262431757
Deaths,Ethiopia,Female,All ages,Self-harm and interpersonal violence,Number,2003,4666.752848686609,6755.02494409509,3146.0438274414587
Deaths,South Africa,Male,All ages,Transport injuries,Number,2003,14327.080542871021,18922.136742641716,10950.043186017103
Deaths,South Africa,Female,All ages,Transport injuries,Number,2003,4925.321923325689,6267.274875180836,3500.467352559831
Deaths,South Africa,Male,All ages,Unintentional injuries,Number,2003,6854.840928220713,7749.110819798551,5913.6380770233
Deaths,South Africa,Female,All ages,Unintentional injuries,Number,2003,2964.6401893015045,3356.931239043968,2545.2980857149373
Deaths,South Africa,Male,All ages,Other infectious diseases,Number,2005,4525.098261843384,5952.548898721972,3320.1907970391712
Deaths,South Africa,Female,All ages,Other infectious diseases,Number,2005,4070.1268517690364,5674.276156311037,2996.264521600934
Deaths,South Africa,Male,All ages,Maternal and neonatal disorders,Number,2005,10134.051269545696,10952.18949442637,9356.17390238765
Deaths,South Africa,Female,All ages,Maternal and neonatal disorders,Number,2005,9981.269133080166,10978.786119110206,9107.907473151636
Deaths,South Africa,Male,All ages,Substance use disorders,Number,2005,577.6874129197428,738.7909838417708,448.9519572627828
Deaths,South Africa,Female,All ages,Substance use disorders,Number,2005,295.6805440188791,412.34919936746047,206.51772852560026
Deaths,South Africa,Male,All ages,Diabetes and kidney diseases,Number,2005,10594.558553002415,12114.802734578101,9158.843661139956
Deaths,South Africa,Female,All ages,Diabetes and kidney diseases,Number,2005,14065.041962498812,17173.495536087506,11162.63650207078
Deaths,Ethiopia,Male,All ages,Skin and subcutaneous diseases,Number,2003,585.2633072326968,1300.8777191794165,311.6070887471211
Deaths,Ethiopia,Female,All ages,Skin and subcutaneous diseases,Number,2003,599.6298105577596,1145.3050800774492,266.3780533570605
Deaths,Ethiopia,Male,All ages,Transport injuries,Number,2003,11546.629777103844,18018.156974843172,6972.745302135156
Deaths,Ethiopia,Female,All ages,Transport injuries,Number,2003,4876.864242423333,7672.437706670888,2878.260850573897
Deaths,Ethiopia,Male,All ages,Unintentional injuries,Number,2003,20391.336543965856,27285.28643888244,14255.47493384175
Deaths,Ethiopia,Female,All ages,Unintentional injuries,Number,2003,9452.422381667619,12646.1647645985,6591.289258370211
Deaths,South Africa,Male,All ages,Self-harm and interpersonal violence,Number,2006,22143.428951487138,26933.59062128012,17859.024827283774
Deaths,South Africa,Female,All ages,Self-harm and interpersonal violence,Number,2006,4628.305112580301,5917.437093604358,3664.6695767114984
Deaths,Kenya,Male,All ages,Neglected tropical diseases and malaria,Number,2003,6637.8623858538,10653.993686607284,3650.0228843267614
Deaths,Kenya,Female,All ages,Neglected tropical diseases and malaria,Number,2003,6196.36306467322,10185.857969067716,3163.4032969849327
Deaths,Kenya,Male,All ages,Chronic respiratory diseases,Number,2003,1821.3918145565265,2617.2640367760914,1199.577893692944
Deaths,Kenya,Female,All ages,Chronic respiratory diseases,Number,2003,1263.8749578715292,1954.928036787276,823.2130467743991
Deaths,South Africa,Male,All ages,Nutritional deficiencies,Number,2006,2169.1563693643166,2534.7760678799887,1780.8766658087254
Deaths,South Africa,Female,All ages,Nutritional deficiencies,Number,2006,2184.2577877275457,2569.0541244656633,1847.0062275314924
Deaths,Nigeria,Male,All ages,Neglected tropical diseases and malaria,Number,2006,130889.0517254242,185143.18017792387,88670.8770630127
Deaths,Nigeria,Female,All ages,Neglected tropical diseases and malaria,Number,2006,117585.90172078078,173163.96185886516,70531.7297339731
Deaths,South Africa,Male,All ages,Neurological disorders,Number,2006,2467.669500589252,4584.458722438072,1457.8827843464503
Deaths,South Africa,Female,All ages,Neurological disorders,Number,2006,4896.061008815611,11056.157788814808,2004.9563959924396
Deaths,South Africa,Male,All ages,Cardiovascular diseases,Number,2006,30890.04655171357,34336.42118424731,27695.99380913836
Deaths,South Africa,Female,All ages,Cardiovascular diseases,Number,2006,37782.60517603965,42179.46659736367,32902.76954042268
Deaths,South Africa,Male,All ages,Skin and subcutaneous diseases,Number,2006,338.65963304554083,456.7319761000693,252.12788830194168
Deaths,South Africa,Female,All ages,Skin and subcutaneous diseases,Number,2006,533.3604042398177,665.3138858216417,413.6519352503674
Deaths,Ethiopia,Male,All ages,Neoplasms,Number,2006,21269.06968838913,25473.17078600096,17450.735676349825
Deaths,Ethiopia,Female,All ages,Neoplasms,Number,2006,24815.95523929769,29966.33058538168,19923.33225591085
Deaths,Kenya,Male,All ages,Nutritional deficiencies,Number,2005,745.9648515710211,1255.0234887735053,434.65527234677955
Deaths,Kenya,Female,All ages,Nutritional deficiencies,Number,2005,748.8916052269818,941.3758154866389,591.3089718110729
Deaths,Nigeria,Male,All ages,Digestive diseases,Number,2006,27996.612904835183,42276.65247650794,17849.36384384069
Deaths,Nigeria,Female,All ages,Digestive diseases,Number,2006,12910.23391318555,19894.46151108683,8464.55920390721
Deaths,South Africa,Male,All ages,Mental disorders,Number,2006,0.011260187190046178,0.07494479829242562,0.0019263066061250317
Deaths,South Africa,Female,All ages,Mental disorders,Number,2006,0.06733700992711068,0.20706453509142256,0.019003942626118396
Deaths,Kenya,Male,All ages,Neurological disorders,Number,2005,2302.676801896111,3731.0101683775474,1271.806488472625
Deaths,Kenya,Female,All ages,Neurological disorders,Number,2005,2250.5818856417477,4371.900406814129,1101.3779663134324
Deaths,Ethiopia,Male,All ages,Musculoskeletal disorders,Number,2003,545.3632670679204,900.5074509055736,264.5288646929754
Deaths,Ethiopia,Female,All ages,Musculoskeletal disorders,Number,2003,319.5998162503758,488.89330999708,189.0484996869975
Deaths,Ethiopia,Male,All ages,Other non-communicable diseases,Number,2003,12778.478853634531,18279.16299310572,8873.880089571905
Deaths,Ethiopia,Female,All ages,Other non-communicable diseases,Number,2003,16944.77707894364,22491.426569034033,12142.990733880324
Deaths,Kenya,Male,All ages,Mental disorders,Number,2005,0.004429925050127828,0.05223990127140018,0.0004971822340612548
Deaths,Kenya,Female,All ages,Mental disorders,Number,2005,0.016929961312670775,0.05091548974331362,0.0044067316452854844
Deaths,Kenya,Male,All ages,Digestive diseases,Number,2003,3562.6272667549642,5012.240409847717,2521.088644211647
Deaths,Kenya,Female,All ages,Digestive diseases,Number,2003,2030.4368646333573,2981.028752115969,1397.1213133247195
Deaths,Kenya,Male,All ages,Unintentional injuries,Number,2003,7920.052534547602,9896.292223023605,6279.524285343367
Deaths,Kenya,Female,All ages,Unintentional injuries,Number,2003,4708.407392889065,6066.518279862511,3632.427157867885
Deaths,Nigeria,Male,All ages,Musculoskeletal disorders,Number,2005,62.575262296681736,113.51275444553184,30.142778753556463
Deaths,Nigeria,Female,All ages,Musculoskeletal disorders,Number,2005,422.3317652170695,690.4535357077687,227.92672870502776
Deaths,Nigeria,Male,All ages,Other non-communicable diseases,Number,2005,26498.766323801578,39096.87658293941,18632.906575255456
Deaths,Nigeria,Female,All ages,Other non-communicable diseases,Number,2005,27217.61053878003,68458.7068624684,15191.583015017946
Deaths,Kenya,Male,All ages,Cardiovascular diseases,Number,2003,8277.047253204626,10857.219272652843,6354.7345282467695
Deaths,Kenya,Female,All ages,Cardiovascular diseases,Number,2003,9418.024899645794,12233.076194574547,7028.916799702262
Deaths,Kenya,Male,All ages,Other non-communicable diseases,Number,2003,2910.530677814585,3948.9567978043697,2115.194770164411
Deaths,Kenya,Female,All ages,Other non-communicable diseases,Number,2003,2213.9735516766045,3019.4514452667295,1643.3979630476313
Deaths,Kenya,Male,All ages,Skin and subcutaneous diseases,Number,2003,144.50666755149342,294.01513406722574,75.01056320145024
Deaths,Kenya,Female,All ages,Skin and subcutaneous diseases,Number,2003,212.80967254550455,378.10182508603134,105.58112557938333
Deaths,Nigeria,Male,All ages,Neurological disorders,Number,2006,8074.893420032263,12581.094103894473,5263.898954097246
Deaths,Nigeria,Female,All ages,Neurological disorders,Number,2006,6856.027761879755,14113.330395062643,3523.1028845552773
Deaths,Nigeria,Male,All ages,Self-harm and interpersonal violence,Number,2006,14595.26501183778,23642.284680515393,9366.857425011975
Deaths,Nigeria,Female,All ages,Self-harm and interpersonal violence,Number,2006,5684.530499645867,9386.795083426843,3192.341274843564
Deaths,Ethiopia,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2003,30088.29433982749,38135.1365941378,22286.750337294925
Deaths,Ethiopia,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2003,41792.5439875733,52677.713412163655,32623.9158673238
Deaths,Ethiopia,Male,All ages,Respiratory infections and tuberculosis,Number,2003,75873.48337238794,96834.15638166243,58206.85217112851
Deaths,Ethiopia,Female,All ages,Respiratory infections and tuberculosis,Number,2003,53336.850517712075,73900.83574384387,35821.092772460404
