measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ethiopia,Both,All ages,Cardiovascular diseases,Number,2003,46195.94111546756,58542.03103668602,35783.88067993875
Deaths,Ethiopia,Both,All ages,Skin and subcutaneous diseases,Number,2003,1184.8931177904565,1966.990848289084,705.726816074184
Deaths,Ethiopia,Both,All ages,Transport injuries,Number,2003,16423.49401952719,22913.278827555132,11275.884289510857
Deaths,Ethiopia,Both,All ages,Unintentional injuries,Number,2003,29843.758925633458,38264.36424978801,21343.838596742615
Deaths,South Africa,Both,All ages,Neurological disorders,Number,2003,7074.403260660756,14988.294551990066,3316.7967302841157
Deaths,South Africa,Both,All ages,Musculoskeletal disorders,Number,2005,613.8651807632696,762.7703297711339,456.57307125224435
Deaths,South Africa,Both,All ages,Other non-communicable diseases,Number,2005,7138.626413866915,7986.917621968202,6322.8305875030865
Deaths,South Africa,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2005,294595.5248541918,305026.1018296112,286301.3618107196
Deaths,South Africa,Both,All ages,Respiratory infections and tuberculosis,Number,2005,64768.54253207416,70932.97781439769,60025.41514802597
Deaths,South Africa,Both,All ages,Enteric infections,Number,2005,30592.3837253414,37184.641140838736,26430.601975420912
Deaths,Nigeria,Both,All ages,Nutritional deficiencies,Number,2003,49345.49278615213,67947.16179418367,36280.44006361709
Deaths,South Africa,Both,All ages,Cardiovascular diseases,Number,2003,66768.0149900295,71922.84307205876,60744.54809073775
Deaths,South Africa,Both,All ages,Skin and subcutaneous diseases,Number,2003,848.7330437936713,993.410251621506,712.691193699182
Deaths,Ethiopia,Both,All ages,Neglected tropical diseases and malaria,Number,2003,48321.85169089027,76410.07792812494,25798.396558865643
Deaths,Ethiopia,Both,All ages,Chronic respiratory diseases,Number,2003,9561.313824370043,13304.836022456782,6439.713319417181
Deaths,Nigeria,Both,All ages,Cardiovascular diseases,Number,2003,141803.19655958583,173176.8505266895,117362.34822006054
Deaths,Ethiopia,Both,All ages,Nutritional deficiencies,Number,2005,13552.262666852237,17636.017158959145,10057.088360379385
Deaths,Ethiopia,Both,All ages,Neurological disorders,Number,2005,10399.96670732621,18490.154710847208,5892.647004890348
Deaths,Nigeria,Both,All ages,Musculoskeletal disorders,Number,2005,484.90702751375136,751.677857770185,287.01672494493175
Deaths,Nigeria,Both,All ages,Other non-communicable diseases,Number,2005,53716.37686258157,94803.61184489439,37601.57745041399
Deaths,South Africa,Both,All ages,Digestive diseases,Number,2003,10770.23660158465,11682.033956932044,9764.457562459605
Deaths,South Africa,Both,All ages,Other infectious diseases,Number,2005,8595.22511361242,11462.13400301178,6308.954476587059
Deaths,South Africa,Both,All ages,Maternal and neonatal disorders,Number,2005,20115.32040262585,21544.970909014726,18886.240628988435
Deaths,South Africa,Both,All ages,Substance use disorders,Number,2005,873.3679569386219,1067.6782406063808,718.894886590044
Deaths,South Africa,Both,All ages,Diabetes and kidney diseases,Number,2005,24659.600515501254,27774.023847140284,21938.122360576795
Deaths,South Africa,Both,All ages,Neglected tropical diseases and malaria,Number,2006,519.3199402858495,658.9787679967789,433.2620061116649
Deaths,South Africa,Both,All ages,Chronic respiratory diseases,Number,2006,16853.77853117341,19185.08442357107,14183.2026389052
Deaths,Ethiopia,Both,All ages,Digestive diseases,Number,2003,30361.71489900521,41797.73402459364,21954.2887332807
Deaths,South Africa,Both,All ages,Mental disorders,Number,2003,0.06862557742430726,0.1659903810716629,0.02156626118101338
Deaths,Nigeria,Both,All ages,Neoplasms,Number,2003,59166.00635947475,70952.24371143755,48324.695845963026
Deaths,Nigeria,Both,All ages,Mental disorders,Number,2003,0.08250615565110353,0.24760330363326918,0.026156145321305255
Deaths,Ethiopia,Both,All ages,Mental disorders,Number,2005,0.013732928196332764,0.06839999655818074,0.002325062747450055
Deaths,South Africa,Both,All ages,Self-harm and interpersonal violence,Number,2003,27119.152523517896,31658.472663058616,22840.736958262183
Deaths,Kenya,Both,All ages,Cardiovascular diseases,Number,2003,17695.07215285044,21277.340277687403,14397.076073939641
Deaths,Kenya,Both,All ages,Other non-communicable diseases,Number,2003,5124.5042294911855,6352.292287657791,4033.2031885882
Deaths,Kenya,Both,All ages,Skin and subcutaneous diseases,Number,2003,357.3163400969981,560.4099632024582,216.74728643187552
Deaths,South Africa,Both,All ages,Digestive diseases,Number,2006,11564.145281801188,12701.412024328349,10289.975010810327
Deaths,Nigeria,Both,All ages,Skin and subcutaneous diseases,Number,2005,2411.331540851855,3654.422376078867,1447.4870417554594
Deaths,Ethiopia,Both,All ages,Self-harm and interpersonal violence,Number,2003,20686.062165964067,28421.629675546807,15739.017632503634
Deaths,Nigeria,Both,All ages,Neglected tropical diseases and malaria,Number,2003,238175.45152971975,361703.94198969204,142492.405266144
Deaths,Ethiopia,Both,All ages,Neoplasms,Number,2003,42255.177296547605,49391.127967131615,36233.962940612284
